Year,iso3c,FDI_Inward_Flow_USD_current_millions,FDI_Inward_Flow_USD_current_pc,FDI_Inward_Flow_perc_total_world,FDI_Inward_Flow_perc_GDP,FDI_Inward_Flow_perc_GFCF,FDI_Outward_Flow_USD_current_millions,FDI_Outward_Flow_USD_current_pc,FDI_Outward_Flow_perc_total_world,FDI_Outward_Flow_perc_GDP,FDI_Outward_Flow_perc_GFCF,FDI_Inward_Stock_USD_current_millions,FDI_Inward_Stock_USD_current_pc,FDI_Inward_Stock_perc_total_world,FDI_Inward_Stock_perc_GDP,FDI_Inward_Stock_perc_GFCF,FDI_Outward_Stock_USD_current_millions,FDI_Outward_Stock_USD_current_pc,FDI_Outward_Stock_perc_total_world,FDI_Outward_Stock_perc_GDP,FDI_Outward_Stock_perc_GFCF
1971,VUT,0,0,0.114,0.11,0.11,,,,,,,,,,,,,,,
1971,NZL,110,110,110,110,110,12,12,12,12,12,,,,,,,,,,
1971,NIC,13,13,13.3,13.3,13.3,,,,,,,,,,,,,,,
1971,NER,0,0,-0.037,-0.04,-0.04,,,,,,,,,,,,,,,
1971,NGA,286,286,286,286,286,,,,,,,,,,,,,,,
1971,NOR,94,94,94,94,94,32,32,32,32,32,,,,,,,,,,
1971,PAK,1,1,1,1,1,,,,,,,,,,,,,,,
1971,PAN,197,197,197.1,197.1,197.1,,,,,,,,,,,,,,,
1971,PNG,47,47,47.49,47.49,47.49,,,,,,,,,,,,,,,
1971,PRY,8,8,7.798,7.8,7.8,,,,,,,,,,,,,,,
1971,PER,0,0,-0.023,-0.02,-0.02,,,,,,,,,,,,,,,
1971,PHL,22,22,21.59,21.59,21.59,,,,,,,,,,,,,,,
1971,PRT,56,56,56,56,56,,,,,,,,,,,,,,,
1971,QAT,229,229,228.932,228.93,228.93,,,,,,,,,,,,,,,
1971,RWA,9,9,8.699,8.7,8.7,,,,,,,,,,,,,,,
1971,SAU,-1,-1,-0.783,-0.78,-0.78,,,,,,,,,,,,,,,
1971,SEN,10,10,9.8,9.8,9.8,,,,,,,,,,,,,,,
1971,SYC,34,34,33.701,33.7,33.7,,,,,,,,,,,,,,,
1971,SLE,8,8,8.398,8.4,8.4,,,,,,,,,,,,,,,
1971,SGP,116,116,116,116,116,,,,,,,,,,,,,,,
1971,VNM,2,2,1.82,1.82,1.82,,,,,,,,,,,,,,,
1971,SOM,5,5,5.121,5.12,5.12,,,,,,,,,,,,,,,
1971,ZAF,260,260,260.061,260.06,260.06,29,29,29.362,29.36,29.36,,,,,,,,,,
1971,ZWE,33,33,33.439,33.44,33.44,,,,,,,,,,,,,,,
1971,ESP,202,202,202,202,202,25,25,25,25,25,,,,,,,,,,
1971,SUR,0,0,-0.048,-0.05,-0.05,,,,,,,,,,,,,,,
1971,SWE,84,84,84.1,84.1,84.1,176,176,175.58,175.58,175.58,,,,,,,,,,
1971,THA,39,39,38.865,38.87,38.87,,,,,,,,,,,,,,,
1971,TGO,11,11,10.717,10.72,10.72,,,,,,,,,,,,,,,
1971,TTO,108,108,108.013,108.01,108.01,,,,,,,,,,,,,,,
1971,ARE,25,25,24.892,24.89,24.89,,,,,,,,,,,,,,,
