Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Kuwait; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;4,300072996;4,524792128;4,524792128;;3,741605972;3,525481304;3,982785494;;3,942161559;3,942161559;;3,931630006;3,140351365;2,958580335;2,958673519;4,340947558;4,774509594
Kyrgyz Republic; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;0;;;;;2,776094336;3,326176702;6,796947162;4,309414126;;;1,181299813;1,060360525;2,318261573;2,377014201;2,294693069;2,378896191;2,462997805;2,462997016;2,335931945;3,199067712;3,156580615;2,931286779;2,91984294
Lao PDR; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;;;;;;3,380994429;2,348122969;1,64637034;;
Latvia; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;2,178637148;3,207534111;;;;2,563144093;;;;;;;;;;;;;;;;;
Lebanon; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;11,59025313;16,94208356;8,357812874;27,08602178;;5,326395114;6,126393672;4,31819398;4,787178128;;;;;;;3,257508123;3,393140019;2,984970239;3,760881164;1,047941726
Lesotho; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;1,378578528;;;16,35130663;;;;12,06317086;10,32287056;10,55754322;13,15734381;13,08248949;1,372343356;2,433718145;2,787630065;;1,427555608;
Lithuania; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;2,551411193;;2,283190711;;;;;0,626323702;0,660107112;;;;;;;;;;;;;;;
Macao; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;
Macedonia, FYR; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;9,289632434;7,741233494;;8,09105896;3,71198616;4,446253456;5,758824823;3,587730872;3,391846858;2,922511203;2,215623141;2,068709516;7,142682773;2,256749872;1,208243851;3,956963806;1,915370782;1,940058447
Madagascar; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;5,1779;4,596499971;5,314177555;4,730867044;;4,49906712;3,474754662;2,722002035;3,317433459;1,732887851;5,890252973;9,536680881;8,483093479;8,509310619;7,89140781;6,316220138;6,371573429;6,179629187;6,39386935;5,988180801;9,354109738;7,863959327;6,834031005;7,739201189
Malawi; World;Import;  All Products;AHS Weighted Average (%);;;;;;;22,30553715;;;;;;12,39452953;9,875368631;;11,12738577;;;8,114348825;;5,961233411;8,440874531;6,409931064;6,081286818;5,725910686;3,798467481;4,253153524;4,243499154;4,770514026;;
Malaysia; World;Import;  All Products;AHS Weighted Average (%);;;;10,84513954;;9,331530602;;;6,265689239;5,3684908;5,22865118;5,137923501;4,808767314;5,056529927;4,197577641;4,573008298;5,368433814;4,266776197;3,683652428;3,71156886;3,886400955;3,551626111;3,115436447;4,171817907;4,409858978;4,444429416;1,283317192;;4,024551378;;
Maldives; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;20,44618432;20,22373647;19,86585212;20,68466765;19,84546213;21,09217206;21,23549428;;20,25362086;19,90971067;19,70848542;20,74942224;6,449531588;6,955941996;7,589928135;11,12866918;11,15812694;12,0430966;11,38670852
Mali; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;10,34621609;10,34621609;10,34621609;6,679975745;;10,64166075;10,76793028;10,90391925;10,96258953;10,40857547;8,311230879;8,437222724;8,437204812;;8,458344568;7,78268101;7,431339285;;;;6,22251919;10,04248605;
Malta; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;8,712352804;;;9,706462019;;5,935877123;5,650575751;;;;;;;;;;;;;;;
Mauritania; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;9,915596175;;;;;9,903696144;9,455846889;9,285245771;8,682725468;7,944203099;8,050175433;;;8,616085759;;;;
Mauritius; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;23,53562797;17,99242742;19,23782885;23,82912902;19,97794045;11,72180579;12,01294563;12,93789056;;12,01658796;4,652714359;1,682233781;2,178694055;2,155847005;1,16404684;1,132651834;0,805283195;0,909975012;0,975724186;0,689738586;0,684297766;0,791545625;0,871686903;0,806156002
Mayotte; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;1,879631635;1,824156843;1,813833561;;;;;;;;;
Mexico; World;Import;  All Products;AHS Weighted Average (%);;;;11,9101641;;;;7,251402646;14,01620386;13,07857303;13,05354715;6,593227806;15,15300739;15,24176353;5,031729037;15,43829289;2,997622988;2,99679069;2,387620278;2,41132222;1,865665589;1,611818518;5,368918103;5,365458837;5,16977046;4,871456563;1,021988741;4,454918308;4,350094299;1,238581911;1,205927893
Moldova; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;1,8898724;;;;2,337985505;2,896077789;;3,37473934;3,081835743;3,229117401;1,682023993;2,702935245;2,022005718;3,209228489;2,275980545;3,35404811;2,610211571;5,705206071;2,530253219;3,39274029;3,544326095;;
Mongolia; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;0,087717492;5,035381565;6,950173842;;5,034699708;5,022931557;4,290387491;4,403773676;5,09820139;;;;;;5,026955653;;4,565975164;;5,518716238;5,260178125
Montenegro; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;5,462422235;5,750242656;6,733219123;6,881127405;6,163844379;5,791480594;3,961045993;3,632568239;3,690510427;3,009594043;3,073209221;2,844877349
Montserrat; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;13,31353862;;;;;;;;;;;;;7,751722724;10,97507192;;;;;
