Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Fm Sudan; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;4,148303913;;;;;;17,02137875;;;;13,91405411;;11,0950121;18,53696944;16,69907403;15,08131229;;;;;;;
French Polynesia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;8,34422168;8,997923136;;8,440300067;7,34124778;7,38834006;7,38834006;7,314151232;;;
Gabon; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;15,42651351;;14,58886612;16,14739639;14,72161727;16,77951918;16,77951918;16,29140193;;14,24849456;14,45348408;14,7469541;;;;;;;;;
Gambia, The; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;11,08571685;;;;14,72279012;14,77346824;13,45645679;12,02218046;12,49590474;12,49590474;12,65682641;;;;;18,1135681
Georgia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;10,1235039;;9,67324696;10,6961901;9,443874694;9,427651816;8,213583174;8,318948146;1,494074729;1,388132143;1,333327819;1,376381872;2,183020572;1,903341097;1,891869351;;1,671294137;1,879178255;;
Ghana; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;16,19623585;9,051703696;9,051703696;9,051703696;;;;8,991375554;8,598122579;9,983348167;10,05715516;;;10,06457518;;;11,16383753;11,10099086;10,89006873
Grenada; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;18,57500949;;;16,19752621;11,31271314;15,81443036;12,0446831;11,43143081;;;11,80466347;12,62583008;12,7203979;;;;;;;;;;
Guatemala; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;8,65984256;;6,802583565;6,983864112;5,936966144;;6,516043455;6,107965251;6,531077327;6,161913032;5,823894611;5,38546972;5,402248178;5,170955774;5,480828243;5,317773562;5,160272186;6,703838462;5,151347074;4,764004297;4,763862147;;;
Guinea; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;5,965944589;;;;;;6,112540345;12,52957546;;;11,91463785;;;;;;;;;;
Guinea-Bissau; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;13,28370535;13,93506688;11,62233253;;;;;;;;;;;;;
Guyana; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;15,19960874;15,53769415;11,60969891;11,84111193;11,49598725;;;11,15350689;11,07515135;10,510535;11,57882785;11,26853664;11,1255808;10,66554933;11,9192572;;11,38721417;11,32026175;11,26501115;6,216383674
Honduras; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;8,965583465;7,796684988;9,755385557;8,053836448;7,696873936;8,351639685;8,79758507;7,181627389;7,183469707;6,848673999;6,009326405;5,920116026;6,507064685;;6,706093894;6,646756891;6,346506246;6,309916569;;;6,023106891;;;
Hong Kong, China; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hungary; World;Import;  All Products;MFN Weighted Average (%);;;;;;9,452772488;;;8,898607451;8,840221341;;;;;7,908570871;;;;;;;;;;;;;;;;
Iceland; World;Import;  All Products;MFN Weighted Average (%);;;;;;5,47400696;;;3,644789139;;4,604135373;3,735008775;4,805483354;3,757429287;;4,37193776;4,608847683;4,31179938;3,120831964;3,899821328;3,383866515;3,262085669;2,978252612;2,994271108;2,821737268;3,213600699;3,318243538;3,276185752;3,100472391;2,307042251;
India; World;Import;  All Products;MFN Weighted Average (%);;;56,35850442;;27,01051373;;;;23,71781823;20,13642454;;28,53550082;23,35835426;26,6471235;23,08054108;21,45466375;22,96938405;14,06296551;8,988114122;11,99143775;6,133911463;7,037158947;7,342178697;7,334274432;6,317289727;6,342871903;;7,488410441;7,567295921;6,851731306;5,999476912
Indonesia; World;Import;  All Products;MFN Weighted Average (%);;14,54257193;15,08852793;;;12,51262913;;10,89153447;7,732402475;15,06558703;5,481272119;6,050030179;5,163803536;4,346681823;5,067017386;4,850550642;5,024942292;5,383046534;4,839042198;3,873924305;4,383499604;2,523183833;4,74255339;4,791800711;4,82749319;4,663156369;;;5,399122266;5,67329631;5,886699722
Iran, Islamic Rep.; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;22,73903843;;;16,73861638;13,83725563;;;;;;;15,22978469;;;;;;;
Israel; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;6,003132477;3,83342319;3,659538438;3,466225311;3,276418137;2,913306917;2,944045954;3,029084575;2,857197725;3,106651753;3,486215091;;2,941307119;2,901089833;2,767061126;2,853626613;3,314857785;3,382014159;3,493587676;
Jamaica; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;17,84772497;;;16,66895472;9,852762427;9,52589606;9,826387713;10,0807604;9,433676781;;8,983404154;8,921510509;;;9,696372438;9,506032024;12,19167166;11,67472589;;10,52437807;10,83883081;;
Japan; World;Import;  All Products;MFN Weighted Average (%);5,144886694;5,033824454;4,425601153;4,960472898;5,24829048;5,46166021;5,446875193;5,71977791;7,058518208;4,82173551;4,702173802;4,928043883;4,997562022;6,053685351;5,834338168;5,566378802;4,264463158;3,865793257;3,06753521;2,999605644;2,764923941;3,274031157;2,564456998;2,682456583;2,638787821;1,501224015;2,698430004;2,827244441;3,116087501;3,057364807;3,031721682
Jordan; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;18,91989072;12,31540171;12,65822562;11,43563021;11,22783496;12,04468915;9,380532611;9,213178088;8,499321004;8,670483141;8,456097312;8,061246076;8,104064474;8,082547447;8,704551908;8,653407921;9,219658116;9,39364231;
Kazakhstan; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;1,910512365;;;;4,748080082;;7,167668604;7,607968775;7,875359979;7,303556397;6,576341869;5,616600566;5,394865555;5,15365698;5,013053358
Kenya; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;12,86096728;16,5177123;14,99864322;12,23246146;;10,44367659;7,550912484;7,02180418;8,144724936;8,189073523;10,22581059;8,705850541;;;10,61748881;;;;;12,65670211
