ccode,period,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks_GDP,LMF_open,LMF_EQ,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,LMF_open_pv,FIN_CUR,CAPITAL,first_year
AFG,"(1985,1990]",1988,,,,,,,,,31.4391513824463,39.8809753417969,16.7299869537354,36.7029098510742,42.6301445007324,25.5485103607178,26.459245300293,37.1318077087402,9.15666942596436,,,,,11847980.6,,,,,,,,-1.91655135154724,0,,,,11.7,,,,,,,,,,,,,,,,,1986
AFG,"(1990,1995]",1993,,,,,,,,,33.5339694976807,42.3010459899902,18.8017322540283,39.8683921813965,48.2269309997559,24.5755592346191,27.5807312011719,36.3751617431641,13.9006187438965,,,,,15757510,,,,,,,,-1.91655135154724,0,,,,11.766,,,,,,,,,,,,,,,,,1991
AFG,"(1995,2000]",1998,,,,,,,,,37.5213012695313,48.1860916137695,19.868480682373,47.7202491760254,60.7203735351563,24.2562408447266,27.9401828765869,35.6518058776856,16.1597835540772,,,,,19779825,,,,,,,,-1.91655135154724,0,,,,13.736,,,,,,,,,,,,,,,,,1996
AFG,"(2000,2005]",2003,,,,,,,,,35.7427810668945,43.8815223693848,21.7533451080322,40.9144882202148,50.0067802429199,23.8131771087647,30.8736934661865,37.7562606811523,19.9981754302979,12.6862687216715,102.570062302272,34.1296811310422,68.4403811712298,23653918,1678847037.93298,,3417040049.49402,,,,,,,272.75,1.5,2199.5,221.52,,,,,,,,,,,,,,,,,2001
AFG,"(2005,2010]",2008,,,,,,,,,34.4914855957031,37.3269721984863,29.6501907348633,40.6521606445313,44.928759765625,30.2909418741862,28.946310043335,29.7251861572266,27.7702198028564,7.45024158495986,90.3949962724625,22.5317185724281,67.8632777000345,27767236.2,2424356132.10271,2945227257.64192,7379799106.66421,9950050421.39738,3.73313134170624,-0.552948978646993,,,,1101.8,10.8,7123,863.168,15.5266666666667,843.523333333333,,,,,95.001331123,,,,,,94.879675773,23.24891027,,,2006
AFG,"(2010,2015]",2013,,,,,,,,,36.6781120300293,32.1670745849609,44.4137992858887,47.6687782287598,37.8842861175537,,26.9412998199463,26.4498645782471,27.6635803222656,5.92869145457647,73.4863645869121,17.5866872910838,55.8996772958283,32266555,3456321909.19467,,10990136901.2886,,3.68192272850727,-0.547012320471828,,,,1475,13,11008,1097.978,8.32,1106.298,,,,,94.514709723,,61.6666666666667,,,,94.51635112352,20.60453129,,,2011
AFG,"(2015,2020]",2017.5,,,,,,,,,29.6220760345459,23.0108451843262,41.1596736907959,34.5563430786133,21.7884120941162,,25.2357044219971,24.2332792282105,26.7439775466919,4.67992173033872,49.4479681106435,5.91908817864655,43.528879931997,36283971.3333333,1170570951.6125,,8616270519.71637,,2.3550615819673,-0.62186401787785,,,,,,,1458.23333333333,14.8933333333333,1473.12666666667,,,,,94.325629144,50.5666666666667,18.75,66,,,94.3634452598,,,,2015.5
AGO,"(1955,1960]",1960,,,,,,,,,,,,,,,,,,,,,,5454933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960
AGO,"(1960,1965]",1963,,,,,,,,,,,,,,,,,,,,,,5665016.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961
AGO,"(1965,1970]",1968,25047.0546875,1.01568579673767,38.6406987905502,3.69622880253965,1.30731305731241,1.91344318596039,,,,,,,,,,,,,,,,5804145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966
AGO,"(1970,1975]",1973,27313.061328125,1.02323999404907,40.1277226209641,3.74964584651185,1.32083914125078,1.98602019012741,-1.25309241702812,2.5099816634294,33.7931251525879,38.9379768371582,28.6482772827148,42.1856346130371,39.3129692077637,45.0583000183106,25.4006214141846,38.5629844665527,12.2382574081421,,,,,6514334.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971
AGO,"(1975,1980]",1978,25603.43125,1.03594479560852,39.7116279602051,3.05762382973221,1.11536131655338,2.12680867274305,-4.03708759213022,3.00925892904925,33.4518600463867,38.346484375,28.5572360992432,41.4593437194824,38.1172592163086,44.8014266967773,25.444380569458,38.5757125854492,12.3130475997925,,,,,7800661.4,,,,,,,,,,61,0,,60.82,,,,,,,,,,,,,,,,,1976
AGO,"(1980,1985]",1983,26491.89140625,1.06934931278229,36.0596984624863,2.66795699048487,0.981045882393055,2.29425924969305,-0.938309774503066,3.44602913183257,34.0482460021973,37.6703941345215,30.4261009216309,40.586075592041,37.3766235351563,43.7955284118652,27.5104198455811,37.9641677856445,17.0566738128662,,,,,9289648.6,,,,,16.9130615581043,-0.693989997484977,144406.902241377,,,347.6,0,11057,347.572,,,,,,,,,,,,,,,,,1981
AGO,"(1985,1990]",1988,28291.0609375,1.11806089878082,21.1195841431618,2.45167551899462,0.895931170158766,2.4442585645136,-0.987155111730373,2.74771280307943,36.230290222168,39.4515701293945,33.0090126037598,38.9900672912598,34.3561893463135,43.6239448547363,33.4705169677734,44.5469512939453,22.3940811157227,,,,,11076114.8,,,,,12.3537364658556,-0.705241362191872,170013.783304137,,,1095.8,0,12092.2,1096.05,0.9,1025.55,,,,,,,,,,,,,,,1986
